index,Begin,End,m,i,a,Mom Actions,File
0,48.802,54.706,,R,,,001_07
1,54.706,62.878,,L,,,001_07
2,55.403999999999996,55.403999999999996,Both,,,,001_07
,58.089,62.878,,L,,,001_07
3,61.628,62.908,,,,momgrab,001_07
4,64.212,64.305,L,,,,001_07
5,64.305,64.915,,,,momforce,001_07
,64.915,69.492,L,,,,001_07
6,69.41,69.71,,R,,,001_07
7,71.131,72.203,,,L,,001_07
8,72.203,76.17399999999999,,,Both,,001_07
8,76.17399999999999,78.012,,,R,,001_07
9,78.012,81.96799999999999,,,Both,,001_07
9,81.96799999999999,82.115,,,L,,001_07
10,82.115,82.70700000000001,,,,momgrab,001_07
11,82.70700000000001,83.594,,Both,,,001_07
,83.594,84.419,,,,momgrab,001_07
12,84.005,88.089,,,R,,001_07
,84.419,101.616,,,L,,001_07
13,94.21700000000001,96.02,,,,momgrab,001_07
14,95.527,103.38,,,R,,001_07
15,103.01299999999999,103.38,,,,momgrab,001_07
15,103.38,103.53,,,,momgrab,001_07
14,103.38,96.02,,,Both,,001_07
16,120.902,122.52,,,R,,001_07
17,122.52,124.87899999999999,,,Both,,001_07
17,124.87899999999999,126.10700000000001,,,L,,001_07
18,126.10700000000001,130.608,,Both,,,001_07
19,130.608,131.126,,,,momgrab,001_07
,131.126,139.606,,Both,,,001_07
20,132.61,134.112,,,,momgrab,001_07
,139.606,142.393,,,L,,001_07
21,141.901,142.499,,,,momgrab,001_07
22,145.313,146.116,L,,,,001_07
23,146.116,146.89,,,,momgrab,001_07
23,146.89,146.903,,,,momgrab,001_07
24,160.125,160.399,L,,,,001_07
25,160.399,161.466,Both,,,,001_07
,161.466,173.891,L,,,,001_07
26,172.808,174.025,,,R,,001_07
27,174.025,188.715,,,Both,,001_07
,188.715,192.609,,,R,,001_07
28,189.524,190.52,,L,,,001_07
29,190.52,192.688,,,,momgrab,001_07
,192.688,196.69299999999998,,L,,,001_07
30,194.53099999999998,196.826,,,R,,001_07
31,196.826,198.77900000000002,,,Both,,001_07
31,198.77900000000002,199.102,,,L,,001_07
32,199.102,207.489,,Both,,,001_07
,207.489,209.111,,,L,,001_07
33,207.925,209.824,,,R,,001_07
