Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
119.0,142.899,,R,,,,,,001_08
123.24,139.679,,Both,,,,,,001_08
139.613,139.679,,,,momgrab,,,,001_08
139.613,140.57299999999998,,,,momgrab,,,,001_08
140.046,140.57299999999998,Both,,,,,,,001_08
140.046,144.592,L,,,,,,,001_08
142.91299999999998,144.592,Both,,,,,,,001_08
142.91299999999998,149.789,R,,,,,,,001_08
145.356,149.789,,Both,,,,,,001_08
145.356,155.489,,L,,,,,,001_08
149.789,155.489,,Both,,,,,,001_08
149.789,159.486,,R,,,,,,001_08
154.43,159.486,,,,momgrab,,,,001_08
154.43,162.023,,,,momgrab,,,,001_08
159.102,162.023,,Both,,,,,,001_08
159.102,164.188,,L,,,,,,001_08
161.57299999999998,164.188,,,Both,,,,,001_08
161.57299999999998,177.493,,,R,,,,,001_08
162.023,164.543,,,,momgrab momforce,,,,001_08
164.61599999999999,216.882,,,L,,,,,001_08
178.313,184.378,,Both,,,,,,001_08
185.24599999999998,185.993,,,R,,,,,001_08
188.456,190.795,,,R,,,,,001_08
198.588,201.998,,,R,,,,,001_08
206.90900000000002,208.176,,,R,,,,,001_08
212.19,226.579,R,,,,,,,001_08
212.296,212.923,,,,momforce,,,,001_08
213.859,216.926,,,,momgrab,,,,001_08
217.30900000000003,222.18900000000002,L,,,,,,,001_08
222.512,223.48,,,L,,,,,001_08
224.834,226.907,,,,momforce,,,,001_08
224.845,226.907,,,Both,,,,,001_08
224.845,230.87099999999998,,,L,,,,,001_08
226.92,230.87099999999998,,,Both,,,,,001_08
226.92,363.586,,,R,,,,,001_08
231.218,240.485,Both,,,,,,,001_08
238.459,240.485,,,,momforce momgrab,,,,001_08
238.459,240.51,,,,momforce momgrab,,,,001_08
302.54,303.493,,,,momforce,,,,001_08
302.54,355.88300000000004,,L,,,,,,001_08
355.964,356.904,,,,momforce,,,,001_08
362.796,366.626,,,L,,,,,001_08
364.56,366.626,Both,,,,,,,001_08
364.56,422.23199999999997,R,,,,,,,001_08
366.834,392.955,Both,,,,,,,001_08
